год,всего по  экономике,"сельское хозяйство, охота и лесное хозяйство","рыболовство, рыбоводство",добыча полезных ископаемых,обрабатывающие производства,"производство кожи, изделий из кожи и производство обуви",обработка древесины и производство изделий из дерева,производство кокса и нефтепродуктов,химическое производство,производство резиновых ипластмассовых изделий,производство прочих неметаллических минеральных продуктов,строительство,"оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",гостиницы и рестораны,транспорт и связь,из них связь,финансовая деятельность,"операции с недвижимым имуществом, аренда и предоставление услуг",государственное управление и обеспечение военной безопасности; социальное страхование,образование,"производство пищевых продуктов, включая напитки, и табака",текстильное и швейное производство,целлюлозно-бумажное производство; издательская и полиграфическая деятельность,металлургическое производство и производство готовых металлических изделий,"производство электрооборудования, электронного и оптического оборудования",производство транспортных средств и оборудования
2000,2223,985,2846,5940,2365,1348,1739,4916,2755,2140,2182,2640,1585,1640,3220,2879,5232,2457,2712,1240,2183.0,1215.0,2737.0,3855.0,2004.0,2454.0
2001,3240,1435,3839,9099,3447,1986,2310,7012,3902,3032,3220,3859,2295,2404,4304,4131,8885,3546,3755,1833,3127.0,1765.0,4309.0,5242.0,2999.0,3665.0
2002,4360,1876,5031,11081,4439,2621,2980,9625,4900,3957,4134,4807,3069,3039,5852,5662,13246,4677,5200,2927,4066.0,2242.0,5480.0,6285.0,3816.0,5100.0
2003,5499,2340,5445,13912,5603,3230,3755,11879,6155,4951,5208,6177,3974,3967,7471,7304,15561,6196,6914,3387,5027.0,2803.0,6848.0,7731.0,5109.0,6365.0
2004,6740,3015,7085,16842,6849,3775,4615,13729,7683,5957,6422,7305,4906,4737,9320,8974,17384,7795,7899,4203,6066.0,3357.0,7892.0,9197.0,6432.0,7828.0
2005,8555,3646,10234,19727,8421,4695,5895,19397,9928,6879,7922,9043,6552,6033,11351,11389,22464,10237,10959,5430,7304.0,3986.0,9419.0,10261.0,8219.0,9377.0
2006,10634,4569,12311,23145,10199,5649,6950,22320,11599,8768,9984,10869,8235,7522,13390,13220,27886,12763,13477,6983,8807.0,4964.0,10924.0,12002.0,10290.0,11431.0
2007,13593,6144,14797,28108,12879,7537,8816,28565,14616,11083,13193,14333,11476,9339,16452,16043,34880,16642,16896,8778,11069.0,6590.0,13792.0,14991.0,13114.0,14014.0
2008,17290,8475,19499,33206,16050,9522,11301,34913,18220,13464,16372,18574,14927,11536,20761,19918,41872,21275,21344,11317,13930.0,8454.0,17632.0,18171.0,16609.0,17331.0
2009,18638,9619,22914,35363,16583,10073,10947,37964,19429,13851,16054,18122,15959,12470,22401,20923,42373,22610,23960,13294,15653.0,9021.0,17707.0,17946.0,17360.0,17368.0
2010,20952,10668,23782,39895,19078,11346,12720,41563,22229,15766,18118,21172,18406,13466,25590,24275,50120,25623,25121,14075,17317.0,10302.0,20104.0,21152.0,20178.0,20766.0
2011,23369,12464,25940,45132,21781,12351,13942,48463,25583,17713,20518,23682,19613,14693,28609,26995,55789,28239,27756,15809,19094.0,11004.0,23710.0,23887.0,23375.0,24503.0
2012,26629,14129,29201,50401,24512,13136,15248,59195,28901,19758,23180,25951,21634,16631,31444,28701,58999,30926,35701,18995,21105.0,12095.0,26312.0,26564.0,26354.0,27660.0
2013,29792,15724,32437,54161,27045,14725,16950,64760,32514,21599,25458,27701,23168,18304,34576,31346,63333,33846,40449,23458,23327.0,13489.0,28505.0,28520.0,29354.0,30724.0
2014,32495,17724,37062,58959,29511,16119,18628,75517,36218,23270,27335,29354,25601,19759,37011,33705,68565,37559,42659,25862,25081.0,14453.0,29222.0,30437.0,32779.0,33736.0
2015,34030,19721,46676,63695,31910,17796,20365,81605,39342,25006,28051,29960,26947,20626,38982,34958,70088,39815,41916,26928,26793.0,15758.0,30148.0,33059.0,36765.0,36139.0
2016,36709,21755,54927,69936,34592,19847,22383,88194,43318,27565,28909,32332,30030,22041,41510,37984,80289,43737,43611,28088,28779.0,17065.0,32399.0,35310.0,39998.0,39603.0
2017,39167,25671,68032,74474,38502,20193,25657,95957,45894,30622,30904,33678,32093,23971,58811,84904,30208,43500,30258,31980,54207.333333333336,21335.0,35265.0,42733.0,41607.0,41508.5
2018,43724,28699,75766,83178,40722,23576,26177,87591,49159,33581,34301,38518,35444,26241,66590,91070,33101,47803,34361,40027,57667.666666666664,22499.0,38154.5,44206.5,46242.0,45024.0
2019,47867,31728,88604,89344,43855,25680,29399,81685,54332,35623,37987,42630,40137,28191,75898,103668,36859,50991,37072,43122,60820.333333333336,23765.5,40902.0,47477.5,48821.0,48518.5
2020,51344,34770,94983,95359,46510,26913,30864,82106,57339,39662,40787,44738,41867,27411,85648,112680,37628,54496,39563,49532,65013.666666666664,25514.0,43991.5,50481.0,51182.5,50036.5
2021,57244,39437,101547,103474,52410,31771,36314,87214,63702,44817,46265,51944,50389,33225,97434,130223,43620,58620,43391,50690,66965.66666666667,29084.5,50621.5,55828.5,57826.0,56512.5
2022,65338,46777,121726,118376,60439,36445,40464,97720,75283,51471,54046,60850,57806,37572,121262,146637,48531,63505,48400,55420,77387.0,33030.5,59375.0,65714.5,66965.0,63414.5
2023,73709,52868,139520,130826,71273,44039,44435,109541,87531,61423,62739,68944,63572,43192,130326,169106,54612,73861,54263,61486,87782.66666666667,39435.5,64506.0,77605.5,82005.0,76878.5
